,data_jogo,liga,temporada,local,id_time_casa,time_casa,id_time_fora,time_fora,gols_casa,gols_fora,empate,vitoria_casa,vitoria_fora
4452,2020-01-25 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,München,40,FC Bayern München,9,FC Schalke 04,2,0,0.0,1.0,0.0
4453,2020-01-26 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Bremen,134,Werder Bremen,175,TSG 1899 Hoffenheim,0,0,1.0,0.0,0.0
4454,2020-01-26 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Leverkusen,6,Bayer Leverkusen,185,Fortuna Düsseldorf,1,0,0.0,1.0,0.0
4455,2020-01-31 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,54,Hertha BSC,9,FC Schalke 04,0,0,1.0,0.0,0.0
4456,2020-02-01 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Dortmund,7,Borussia Dortmund,80,1. FC Union Berlin,2,0,0.0,1.0,0.0
4457,2020-02-01 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Sinsheim,175,TSG 1899 Hoffenheim,6,Bayer Leverkusen,1,1,1.0,0.0,0.0
4458,2020-02-01 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Düsseldorf,185,Fortuna Düsseldorf,91,Eintracht Frankfurt,0,0,1.0,0.0,0.0
4459,2020-02-01 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Mainz,81,1. FSV Mainz 05,40,FC Bayern München,1,3,0.0,0.0,1.0
4460,2020-02-01 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Augsburg,95,FC Augsburg,134,Werder Bremen,0,1,0.0,0.0,1.0
4461,2020-02-01 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leipzig,1635,RB Leipzig,87,Borussia Mönchengladbach,0,2,0.0,0.0,1.0
4462,2020-02-02 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Köln,65,1. FC Köln,112,SC Freiburg,1,0,0.0,1.0,0.0
4463,2020-02-02 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Paderborn,31,SC Paderborn 07,131,VfL Wolfsburg,1,2,0.0,0.0,1.0
4464,2020-02-07 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Frankfurt,91,Eintracht Frankfurt,95,FC Augsburg,1,0,0.0,1.0,0.0
4465,2020-02-08 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Wolfsburg,131,VfL Wolfsburg,185,Fortuna Düsseldorf,0,1,0.0,0.0,1.0
4466,2020-02-08 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Bremen,134,Werder Bremen,80,1. FC Union Berlin,0,0,1.0,0.0,0.0
4467,2020-02-08 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,54,Hertha BSC,81,1. FSV Mainz 05,0,1,0.0,0.0,1.0
4468,2020-02-08 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Freiburg,112,SC Freiburg,175,TSG 1899 Hoffenheim,1,0,0.0,1.0,0.0
4469,2020-02-08 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gelsenkirchen,9,FC Schalke 04,31,SC Paderborn 07,0,0,1.0,0.0,0.0
4470,2020-02-08 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leverkusen,6,Bayer Leverkusen,7,Borussia Dortmund,2,2,1.0,0.0,0.0
4471,2020-02-09 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,München,40,FC Bayern München,1635,RB Leipzig,0,0,1.0,0.0,0.0
4472,2020-02-14 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Dortmund,7,Borussia Dortmund,91,Eintracht Frankfurt,1,0,0.0,1.0,0.0
4473,2020-02-15 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leipzig,1635,RB Leipzig,134,Werder Bremen,2,0,0.0,1.0,0.0
4474,2020-02-15 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Sinsheim,175,TSG 1899 Hoffenheim,131,VfL Wolfsburg,1,1,1.0,0.0,0.0
4475,2020-02-15 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Augsburg,95,FC Augsburg,112,SC Freiburg,1,0,0.0,1.0,0.0
4476,2020-02-15 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Paderborn,31,SC Paderborn 07,54,Hertha BSC,0,1,0.0,0.0,1.0
4477,2020-02-15 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,80,1. FC Union Berlin,6,Bayer Leverkusen,1,1,1.0,0.0,0.0
4478,2020-02-15 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Düsseldorf,185,Fortuna Düsseldorf,87,Borussia Mönchengladbach,1,1,1.0,0.0,0.0
4479,2020-02-16 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Köln,65,1. FC Köln,40,FC Bayern München,0,3,0.0,0.0,1.0
4480,2020-02-16 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Mainz,81,1. FSV Mainz 05,9,FC Schalke 04,0,0,1.0,0.0,0.0
4481,2020-02-21 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,München,40,FC Bayern München,31,SC Paderborn 07,1,1,1.0,0.0,0.0
4482,2020-02-22 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gladbach,87,Borussia Mönchengladbach,175,TSG 1899 Hoffenheim,1,0,0.0,1.0,0.0
4483,2020-02-22 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Bremen,134,Werder Bremen,7,Borussia Dortmund,0,0,1.0,0.0,0.0
4484,2020-02-22 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,54,Hertha BSC,65,1. FC Köln,0,3,0.0,0.0,1.0
4485,2020-02-22 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Freiburg,112,SC Freiburg,185,Fortuna Düsseldorf,0,1,0.0,0.0,1.0
4486,2020-02-22 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gelsenkirchen,9,FC Schalke 04,1635,RB Leipzig,0,1,0.0,0.0,1.0
4487,2020-02-23 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leverkusen,6,Bayer Leverkusen,95,FC Augsburg,1,0,0.0,1.0,0.0
4488,2020-02-23 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Wolfsburg,131,VfL Wolfsburg,81,1. FSV Mainz 05,2,0,0.0,1.0,0.0
4489,2020-02-24 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Frankfurt,91,Eintracht Frankfurt,80,1. FC Union Berlin,0,0,1.0,0.0,0.0
4490,2020-02-28 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Düsseldorf,185,Fortuna Düsseldorf,54,Hertha BSC,3,0,0.0,1.0,0.0
